_unit_id,_trusted_judgments,what_emotion_does_author_express_specifically_about_the_weather,what_emotion_does_author_express_specifically_about_the_weather:confidence,what_emotion_does_author_express_specifically_about_the_weather:confidence_summary,tweet_text
73286592,5,-1,0.43,"""I can't tell"": 0.433
""Tweet not related to weather condition"": 0.352
""Negative"": 0.215
",fall like weather football season ready get pads http
73286613,5,-1,0.61,"""Neutral / author is just sharing information"": 0.188
""I can't tell"": 0.614
""Positive"": 0.198
",sunny cardiff preparing tomorrows meeting
73286626,5,-1,0.41,"""I can't tell"": 0.41
""Positive"": 0.201
""Tweet not related to weather condition"": 0.389
",ment ? like perfect storm outside ! lol
73286634,5,-1,0.4,"""Neutral / author is just sharing information"": 0.204
""I can't tell"": 0.398
""Positive"": 0.203
""Tweet not related to weather condition"": 0.196
",sunshine
73286686,5,-1,0.42,"""I can't tell"": 0.42
""Neutral / author is just sharing information"": 0.199
""Positive"": 0.201
""Tweet not related to weather condition"": 0.18
",far weather man wrong not rained since num hope holds bike ride afternoon
73286751,5,-1,0.6,"""I can't tell"": 0.597
""Positive"": 0.403
",weather getting real snazzy !
73286782,5,-1,0.41,"""I can't tell"": 0.409
""Neutral / author is just sharing information"": 0.215
""Positive"": 0.375
",craving good thunderstorm !
73286821,5,-1,0.62,"""Neutral / author is just sharing information"": 0.181
""I can't tell"": 0.623
""Tweet not related to weather condition"": 0.196
",:p ment trust will one sunny eyes like shut
73286920,5,-1,0.4,"""I can't tell"": 0.404
""Neutral / author is just sharing information"": 0.394
""Tweet not related to weather condition"": 0.202
",just thought storm passed another wave hits tame one still alright storm bring !
73286961,5,-1,0.21,"""I can't tell"": 0.213
""Neutral / author is just sharing information"": 0.194
""Positive"": 0.213
""Tweet not related to weather condition"": 0.175
""Negative"": 0.205
",bermuda triangle got tired warm weather moved finland now santa claus missing
73286972,5,-1,0.4,"""Neutral / author is just sharing information"": 0.196
""I can't tell"": 0.403
""Tweet not related to weather condition"": 0.401
",np ain't sunshine
73287059,5,-1,0.37,"""Neutral / author is just sharing information"": 0.22
""I can't tell"": 0.372
""Positive"": 0.198
""Tweet not related to weather condition"": 0.209
",ment rainy knitted gang saturday brunch sunday last night went see hop adorable !
73287121,5,-1,0.4,"""Neutral / author is just sharing information"": 0.389
""I can't tell"": 0.402
""Tweet not related to weather condition"": 0.209
",ment check weather first lol
73287156,7,-1,0.3,"""I can't tell"": 0.295
""Neutral / author is just sharing information"": 0.272
""Tweet not related to weather condition"": 0.146
""Negative"": 0.287
",rainy nights like can't help think great dog potty trained lol
73287188,5,-1,0.41,"""I can't tell"": 0.414
""Neutral / author is just sharing information"": 0.22
""Positive"": 0.154
""Negative"": 0.212
",ment storm going keep grizzlies game
73287222,5,-1,0.62,"""I can't tell"": 0.624
""Tweet not related to weather condition"": 0.376
",jungle storm num num num num http
73287223,5,-1,0.4,"""Neutral / author is just sharing information"": 0.398
""I can't tell"": 0.403
""Negative"": 0.199
",ment don't bother checking weather keene next week
73287296,5,-1,0.41,"""I can't tell"": 0.414
""Neutral / author is just sharing information"": 0.181
""Tweet not related to weather condition"": 0.405
",change weather bish need rain check damn im ment mood rite now
73287328,5,-1,0.6,"""I can't tell"": 0.597
""Tweet not related to weather condition"": 0.193
""Negative"": 0.209
",ment bad will weather around area tomorrow ? will coming home state summer wed
73287339,5,-1,0.42,"""Neutral / author is just sharing information"": 0.397
""I can't tell"": 0.418
""Positive"": 0.185
",weather friday
73287366,5,-1,0.41,"""I can't tell"": 0.412
""Neutral / author is just sharing information"": 0.183
""Positive"": 0.2
""Negative"": 0.204
",http says bad week ahead
73287403,5,-1,0.6,"""Neutral / author is just sharing information"": 0.402
""I can't tell"": 0.598
",ment sunny today ?
73287406,5,-1,0.42,"""I can't tell"": 0.42
""Neutral / author is just sharing information"": 0.196
""Tweet not related to weather condition"": 0.384
",last leg mia don't care weather may like happy home ment ment ment ment ment
73287422,5,-1,0.4,"""Neutral / author is just sharing information"": 0.394
""I can't tell"": 0.396
""Negative"": 0.21
",another cold rainy day new england
73287439,5,-1,0.42,"""I can't tell"": 0.423
""Positive"": 0.192
""Tweet not related to weather condition"": 0.384
",ment butt naked weather
73287451,5,-1,0.43,"""I can't tell"": 0.434
""Neutral / author is just sharing information"": 0.36
""Tweet not related to weather condition"": 0.206
",april weather supposed like ?
73287633,5,-1,0.41,"""I can't tell"": 0.413
""Neutral / author is just sharing information"": 0.376
""Negative"": 0.211
",weather today
73287638,5,-1,0.61,"""I can't tell"": 0.607
""Tweet not related to weather condition"": 0.393
",jungle storm num num num num num num http
73287646,5,-1,0.42,"""Neutral / author is just sharing information"": 0.188
""I can't tell"": 0.425
""Tweet not related to weather condition"": 0.218
""Negative"": 0.169
",hey lady sunny inside ?
73287693,5,-1,0.41,"""I can't tell"": 0.409
""Neutral / author is just sharing information"": 0.396
""Negative"": 0.195
",ment snow just keeps falling !
73287717,5,-1,0.59,"""I can't tell"": 0.594
""Neutral / author is just sharing information"": 0.406
",always sunny
73287876,5,-1,0.43,"""Neutral / author is just sharing information"": 0.187
""I can't tell"": 0.426
""Negative"": 0.387
",memphis weather crazy
73287895,5,-1,0.41,"""I can't tell"": 0.406
""Positive"": 0.196
""Negative"": 0.398
",super duper hot outside ! god ain't lol !
73287896,5,-1,0.41,"""Neutral / author is just sharing information"": 0.395
""I can't tell"": 0.405
""Negative"": 0.2
",num pound dog lap terrified storm much shaking bet vibrating chair feels like
73287906,5,-1,0.6,"""I can't tell"": 0.603
""Tweet not related to weather condition"": 0.397
",ment mainichi select
73288027,5,-1,0.63,"""Neutral / author is just sharing information"": 0.197
""I can't tell"": 0.628
""Positive"": 0.175
",ment weather describes mood
73288050,5,-1,0.42,"""I can't tell"": 0.423
""Tweet not related to weather condition"": 0.192
""Negative"": 0.384
",pulls box fan smh hot place
73288072,5,-1,0.45,"""I can't tell"": 0.451
""Positive"": 0.195
""Tweet not related to weather condition"": 0.355
",weather boosts west somerset trade businesses west somerset enjoying improved trade last http
73288077,6,-1,0.36,"""I can't tell"": 0.361
""Neutral / author is just sharing information"": 0.284
""Positive"": 0.181
""Negative"": 0.174
",day rainy cloudy day cup coffee bed
73288085,5,-1,0.42,"""Neutral / author is just sharing information"": 0.175
""I can't tell"": 0.415
""Positive"": 0.197
""Negative"": 0.213
",bugging weather say num
73288089,5,-1,0.61,"""I can't tell"": 0.615
""Neutral / author is just sharing information"": 0.191
""Tweet not related to weather condition"": 0.194
",whats weather supposed like ?
73288090,6,-1,0.51,"""Neutral / author is just sharing information"": 0.154
""I can't tell"": 0.509
""Tweet not related to weather condition"": 0.168
""Negative"": 0.169
",weather makes freaky lol
73288117,5,-1,0.43,"""I can't tell"": 0.428
""Neutral / author is just sharing information"": 0.18
""Tweet not related to weather condition"": 0.392
",north south big matches ahead week will weather hold ? http
73288118,5,-1,0.62,"""I can't tell"": 0.623
""Tweet not related to weather condition"": 0.377
",sale el num cap de la temp de shameless amo
73288166,5,-1,0.41,"""Neutral / author is just sharing information"": 0.394
""I can't tell"": 0.41
""Tweet not related to weather condition"": 0.196
",flip flop weather
73288273,5,-1,0.42,"""I can't tell"": 0.42
""Neutral / author is just sharing information"": 0.204
""Positive"": 0.376
",looks like meridian earlier today course great sunshine right ment oahu sad today http
73288289,5,-1,0.39,"""I can't tell"": 0.389
""Positive"": 0.2
""Tweet not related to weather condition"": 0.21
""Negative"": 0.201
",hoping everyone smashing easter ! weather inspired people take !
73288326,7,-1,0.6,"""Neutral / author is just sharing information"": 0.109
""I can't tell"": 0.597
""Negative"": 0.294
",weather tho
73288373,5,-1,0.59,"""Neutral / author is just sharing information"": 0.197
""I can't tell"": 0.587
""Tweet not related to weather condition"": 0.216
",sunny
73288376,5,-1,0.61,"""I can't tell"": 0.606
""Positive"": 0.197
""Tweet not related to weather condition"": 0.197
",getting hot bitches cut ! ready whatever
73288380,6,-1,0.35,"""Neutral / author is just sharing information"": 0.33
""I can't tell"": 0.345
""Negative"": 0.325
",boy hot outside
73288393,5,-1,0.35,"""Neutral / author is just sharing information"": 0.208
""I can't tell"": 0.354
""Positive"": 0.219
""Negative"": 0.219
",ment ek hate stay safe dry ! will send sunny california !
73288423,5,-1,0.4,"""Neutral / author is just sharing information"": 0.394
""I can't tell"": 0.398
""Positive"": 0.208
",already heard rain ! ment beautiful run lake madison hoping great weather saturday !
73288429,5,-1,0.42,"""Neutral / author is just sharing information"": 0.2
""I can't tell"": 0.417
""Tweet not related to weather condition"": 0.199
""Negative"": 0.184
",ment don't worry weather gets gloomy promise
73288439,5,-1,0.42,"""Neutral / author is just sharing information"": 0.221
""I can't tell"": 0.422
""Negative"": 0.357
",ment ment spoke short morning sunshine replaced dark afternoon clouds
73288461,5,-1,0.6,"""I can't tell"": 0.602
""Negative"": 0.398
",ah crazy hail storm !
73288612,5,-1,0.4,"""Neutral / author is just sharing information"": 0.201
""I can't tell"": 0.4
""Positive"": 0.202
""Tweet not related to weather condition"": 0.196
",days back covering weather ready warmth loving cold ? let know ! ment
73288639,5,-1,0.61,"""I can't tell"": 0.605
""Tweet not related to weather condition"": 0.395
",http via ment
73288748,5,-1,0.42,"""I can't tell"": 0.417
""Positive"": 0.208
""Tweet not related to weather condition"": 0.376
",staying weather
73288820,5,-1,0.4,"""Neutral / author is just sharing information"": 0.206
""I can't tell"": 0.403
""Negative"": 0.391
",ment weather weird
73288841,8,-1,0.39,"""Neutral / author is just sharing information"": 0.238
""I can't tell"": 0.395
""Negative"": 0.367
",bra go outside hoop soon opened da door started hard sunny wtf ?
73288867,5,-1,0.61,"""I can't tell"": 0.606
""Tweet not related to weather condition"": 0.191
""Negative"": 0.202
",ment just got back room tew hot ta outside num
73288894,5,-1,0.44,"""Neutral / author is just sharing information"": 0.371
""I can't tell"": 0.44
""Tweet not related to weather condition"": 0.189
",just wanted post picture case really snow tonight http
73288896,5,-1,0.42,"""I can't tell"": 0.424
""Neutral / author is just sharing information"": 0.387
""Negative"": 0.189
",ment ment ment ment ment can't wait everyone ! crazy weather weekend stop
73288898,5,-1,0.4,"""I can't tell"": 0.399
""Neutral / author is just sharing information"": 0.214
""Negative"": 0.387
",ment hot outside coz not day
73288971,5,-1,0.61,"""I can't tell"": 0.607
""Tweet not related to weather condition"": 0.393
",film en eternal sunshine spotless
73289041,5,-1,0.41,"""Neutral / author is just sharing information"": 0.398
""I can't tell"": 0.413
""Positive"": 0.189
",wat type weather dis ? yep ! guessed weather
73289155,5,-1,0.41,"""I can't tell"": 0.406
""Positive"": 0.191
""Tweet not related to weather condition"": 0.21
""Negative"": 0.194
",youngsters fill baskets annual hunt chilly temperatures overcast sky couldn't cool enthusiasm http
73289160,6,-1,0.49,"""I can't tell"": 0.493
""Positive"": 0.331
""Negative"": 0.176
",:d ment weather like comfy bed life !
73289179,5,-1,0.62,"""I can't tell"": 0.616
""Neutral / author is just sharing information"": 0.384
",ment storm ?
73289186,5,-1,0.41,"""I can't tell"": 0.414
""Neutral / author is just sharing information"": 0.407
""Positive"": 0.179
",ment really ? don't think weather ! might put away season
73289195,5,-1,0.38,"""Neutral / author is just sharing information"": 0.207
""I can't tell"": 0.379
""Tweet not related to weather condition"": 0.207
""Negative"": 0.207
",rainy weather makes sleepy ! want stay home lazy doggies gym calling name time num train clients !
73289230,5,-1,0.43,"""I can't tell"": 0.425
""Positive"": 0.371
""Negative"": 0.204
",ment fresh right num chilly
73289243,5,-1,0.43,"""I can't tell"": 0.431
""Positive"": 0.157
""Negative"": 0.412
",weather right now
73289248,5,-1,0.42,"""I can't tell"": 0.421
""Neutral / author is just sharing information"": 0.402
""Negative"": 0.176
",ment sunny windy therefore cold
73289288,5,-1,0.41,"""Neutral / author is just sharing information"": 0.203
""I can't tell"": 0.405
""Negative"": 0.392
",um long weave plus weather not business need headband can put
73289309,5,-1,0.6,"""Neutral / author is just sharing information"": 0.195
""I can't tell"": 0.604
""Negative"": 0.201
",ment ment bit deceiving got opened windows doors looked like warm outside
73289391,5,-1,0.41,"""I can't tell"": 0.41
""Neutral / author is just sharing information"": 0.179
""Positive"": 0.205
""Tweet not related to weather condition"": 0.205
",weather will not cancel nut club easter egg http
73289405,5,-1,0.6,"""Neutral / author is just sharing information"": 0.183
""I can't tell"": 0.604
""Negative"": 0.212
",:o thunderstorms sunny day ! florida !
73289486,5,-1,0.42,"""I can't tell"": 0.423
""Positive"": 0.387
""Tweet not related to weather condition"": 0.19
",ment maybe give bit food sports people lifestyle can't beat better weather !
73289493,5,-1,0.8,"""I can't tell"": 0.8
""Negative"": 0.2
",num degrees way !
73289494,5,-1,0.41,"""Neutral / author is just sharing information"": 0.179
""I can't tell"": 0.407
""Positive"": 0.206
""Negative"": 0.208
",storm passed num now lemme go get food another one come
73289518,5,-1,0.41,"""Neutral / author is just sharing information"": 0.393
""I can't tell"": 0.412
""Negative"": 0.195
",ment drive num hours north go air conditioning blizzard mountains quite thing
73289520,5,-1,0.42,"""I can't tell"": 0.424
""Positive"": 0.422
""Negative"": 0.154
",ment weather right now feels bomb outside tho
73289573,5,-1,0.42,"""I can't tell"": 0.421
""Neutral / author is just sharing information"": 0.192
""Negative"": 0.386
",cried rain snow get asked !
73289592,5,-1,0.43,"""Neutral / author is just sharing information"": 0.179
""I can't tell"": 0.43
""Tweet not related to weather condition"": 0.391
",ment http ! never happen oklahoma take weather way seriously
73289612,5,-1,0.39,"""Neutral / author is just sharing information"": 0.192
""I can't tell"": 0.393
""Positive"": 0.207
""Negative"": 0.208
",wait think hot outside !
73289634,5,-1,0.43,"""Neutral / author is just sharing information"": 0.207
""I can't tell"": 0.426
""Positive"": 0.184
""Tweet not related to weather condition"": 0.183
",maybe lol don't ment ment weather saying go bed lol
73289643,5,-1,0.6,"""I can't tell"": 0.604
""Positive"": 0.204
""Tweet not related to weather condition"": 0.192
",ment ? weather ?
73289647,5,-1,0.42,"""Neutral / author is just sharing information"": 0.188
""I can't tell"": 0.425
""Negative"": 0.388
",another rainy day smh mall shopping
73289648,5,-1,0.62,"""Neutral / author is just sharing information"": 0.178
""I can't tell"": 0.624
""Negative"": 0.198
",ment hear thunder ? smh ment memphis weather
73162526,3,-2,0.72,"""I can't tell"": 0.277
""Negative"": 0.723
",dam pretty cold morning burr lol
73285154,5,-2,1,"""Negative"": 1.0
",hot ugh making sleepy
73285155,5,-2,0.83,"""Neutral / author is just sharing information"": 0.175
""Negative"": 0.825
",ment cold get go tramping around snow
73285158,5,-2,1,"""Negative"": 1.0
",hot shit outside
73285159,5,-2,0.79,"""Neutral / author is just sharing information"": 0.215
""Negative"": 0.785
",dear bad weather kindly hold get home okay ? also still need nap
73285163,5,-2,0.4,"""Neutral / author is just sharing information"": 0.19
""Positive"": 0.2
""Tweet not related to weather condition"": 0.209
""Negative"": 0.401
",week num spring ball will start film room weather will not prevent us getting better ! num
73285165,5,-2,0.42,"""Neutral / author is just sharing information"": 0.389
""Tweet not related to weather condition"": 0.195
""Negative"": 0.416
",love traffic reasons ment canceled flight didn't provide accommodations us
73285166,5,-2,1,"""Negative"": 1.0
",hot ball outside got headache
73285167,5,-2,0.62,"""I can't tell"": 0.382
""Negative"": 0.618
",thunderstorm outside perfect weather describe mood
73285173,5,-2,0.57,"""Neutral / author is just sharing information"": 0.203
""I can't tell"": 0.222
""Negative"": 0.575
",ment schedule work outs based weather rain making running outside infrequent
73285176,5,-2,1,"""Negative"": 1.0
",d: bundled sweater cold want saturday's sun back wanna go read outside
73285181,5,-2,0.61,"""Neutral / author is just sharing information"": 0.393
""Negative"": 0.607
",tornado warning allowed expire montgomery county worst storm now southern kentucky
73285182,5,-2,0.21,"""I can't tell"": 0.193
""Neutral / author is just sharing information"": 0.202
""Positive"": 0.2
""Tweet not related to weather condition"": 0.194
""Negative"": 0.211
",holt students overcome stormy weather hold another successful spring fling ! see photos read http
73285183,5,-2,0.61,"""Positive"": 0.393
""Negative"": 0.607
",weather finally starting change
73285199,5,-2,0.61,"""I can't tell"": 0.219
""Positive"": 0.17
""Negative"": 0.61
",ment yes num day row hope weather better
73285204,5,-2,0.6,"""Tweet not related to weather condition"": 0.4
""Negative"": 0.6
",house like num degrees !
73285215,5,-2,1,"""Negative"": 1.0
",sick people sick weather sick life sick need coma fix
73285216,5,-2,0.79,"""I can't tell"": 0.209
""Negative"": 0.791
",ment ment ment ur right ! ! still lunch mice rainy day
73285220,7,-2,0.43,"""Neutral / author is just sharing information"": 0.154
""I can't tell"": 0.281
""Tweet not related to weather condition"": 0.14
""Negative"": 0.425
",ment lmao hot bad breath bitch
73285223,5,-2,1,"""Negative"": 1.0
",well sunny hot way work now looks like midnight ! geez
73285228,5,-2,1,"""Negative"": 1.0
",weather bad
73285230,5,-2,1,"""Negative"": 1.0
",tired weather stinks mondays
73285239,5,-2,0.6,"""Tweet not related to weather condition"": 0.398
""Negative"": 0.602
",stupid people walking tornado weather two words
73285252,5,-2,1,"""Negative"": 1.0
",boring rainy !
73285253,5,-2,0.79,"""Neutral / author is just sharing information"": 0.208
""Negative"": 0.792
",ment winter remains unwelcome guest utah's doorstep snow coming http
73285257,5,-2,0.61,"""Neutral / author is just sharing information"": 0.388
""Negative"": 0.612
",bummer volleyball league games tonight cancelled due weather
73285258,5,-2,0.81,"""Tweet not related to weather condition"": 0.189
""Negative"": 0.811
",guess check weather always http
73285261,5,-2,0.82,"""I can't tell"": 0.179
""Negative"": 0.821
",thunder loud just woke deep sleep scary night storm
73285262,5,-2,0.79,"""I can't tell"": 0.212
""Negative"": 0.788
",dog smells storm coming man now wants every cabinet door open yeah strange
73285263,5,-2,0.62,"""Neutral / author is just sharing information"": 0.382
""Negative"": 0.618
",hot outside
73285271,5,-2,0.81,"""Tweet not related to weather condition"": 0.187
""Negative"": 0.813
",today's weather gloomy num percent chance gloom throughout day
73285279,5,-2,0.81,"""Neutral / author is just sharing information"": 0.192
""Negative"": 0.808
",experienced warmth first time num weekend now back chilly rainy maybe warm texas
73285280,5,-2,0.41,"""Neutral / author is just sharing information"": 0.388
""Positive"": 0.205
""Negative"": 0.407
",:/ yesterday great today rainy back reality http
73285283,5,-2,0.8,"""I can't tell"": 0.199
""Negative"": 0.801
",weather bipolar needs make mind
73285290,5,-2,0.6,"""I can't tell"": 0.217
""Positive"": 0.186
""Negative"": 0.596
",ment makes sense freaking hot outside
73285300,5,-2,1,"""Negative"": 1.0
",poor guys can't ride today weather !
73285304,5,-2,0.82,"""Positive"": 0.176
""Negative"": 0.824
",raining num straight ready dang sunshine !
73285307,5,-2,0.84,"""Positive"": 0.162
""Negative"": 0.838
",ment mine sickening wet due weather wasn't good
73285325,5,-2,1,"""Negative"": 1.0
",ment like num degrees minnesota cold
73285326,5,-2,0.39,"""Neutral / author is just sharing information"": 0.2
""I can't tell"": 0.2
""Tweet not related to weather condition"": 0.209
""Negative"": 0.392
",not even num num degrees definitely need new wardrobe move
73285337,7,-2,0.86,"""Neutral / author is just sharing information"": 0.145
""Negative"": 0.855
",ment thanks keeping us updated streets weather lately causing havoc
73285342,5,-2,0.61,"""Positive"": 0.192
""Tweet not related to weather condition"": 0.2
""Negative"": 0.608
",not letting weather anything mess today time focus important thing life !
73285351,5,-2,0.6,"""Tweet not related to weather condition"": 0.405
""Negative"": 0.595
",cold cant think brain freezing !
73285362,5,-2,0.63,"""Neutral / author is just sharing information"": 0.37
""Negative"": 0.63
",clear sunny left home cloudy rainy get grand forks appropriate
73285365,5,-2,1,"""Negative"": 1.0
",bit disturbed fact walking num class felt like num degrees outside !
73285380,5,-2,0.41,"""I can't tell"": 0.198
""Neutral / author is just sharing information"": 0.395
""Negative"": 0.407
",ment umm please send weather ! thank !
73285385,5,-2,0.43,"""Neutral / author is just sharing information"": 0.391
""Positive"": 0.181
""Negative"": 0.427
",ment feeling exactly way morning sluggish week travel holiday weekend rainy morning
73285389,5,-2,0.42,"""Neutral / author is just sharing information"": 0.173
""I can't tell"": 0.211
""Positive"": 0.193
""Negative"": 0.422
",ment well good weather crazy can rain snow sunny month lol
73285393,5,-2,0.4,"""Neutral / author is just sharing information"": 0.192
""I can't tell"": 0.192
""Positive"": 0.219
""Negative"": 0.397
",ment lol might glowing glistening cause hot weather miss !
73285395,5,-2,0.81,"""Tweet not related to weather condition"": 0.189
""Negative"": 0.811
",thunder lightening ? sure not weather state
73285405,5,-2,0.6,"""I can't tell"": 0.403
""Negative"": 0.597
",ment now didn't one snow days school lame
73285412,5,-2,1,"""Negative"": 1.0
",ment way hot
73285418,6,-2,0.5,"""Neutral / author is just sharing information"": 0.171
""Tweet not related to weather condition"": 0.328
""Negative"": 0.501
",ment confirmed warning sirens going denton take cover ! weather
73285420,5,-2,0.79,"""Neutral / author is just sharing information"": 0.205
""Negative"": 0.795
",hot outside take break mowing
73285421,5,-2,1,"""Negative"": 1.0
",hot ballin outside
73285427,5,-2,0.62,"""Neutral / author is just sharing information"": 0.204
""Tweet not related to weather condition"": 0.177
""Negative"": 0.618
",ment ment charts unforgettable performance friday thank ! sorry lousy weather
73285432,5,-2,0.6,"""Neutral / author is just sharing information"": 0.402
""Negative"": 0.598
",beach man hot outside
73285434,5,-2,0.59,"""Neutral / author is just sharing information"": 0.2
""I can't tell"": 0.209
""Negative"": 0.591
",ment unfortunately practice close outdoor office days due weather
73285439,5,-2,0.59,"""Neutral / author is just sharing information"": 0.209
""Positive"": 0.2
""Negative"": 0.591
",cant wait till weather gets nice wanna go camp dearborn bad ment ment
73285440,5,-2,0.4,"""Neutral / author is just sharing information"": 0.398
""Positive"": 0.201
""Negative"": 0.401
",ment music gotten dreary rainy day
73285442,5,-2,0.59,"""Neutral / author is just sharing information"": 0.405
""Negative"": 0.595
",storm crossing num headed towards damage reported dangerous storm get safe place now !
73285444,5,-2,0.4,"""Neutral / author is just sharing information"": 0.196
""I can't tell"": 0.205
""Tweet not related to weather condition"": 0.196
""Negative"": 0.403
",ment ment waits someone blame weather
73285448,5,-2,1,"""Negative"": 1.0
",raining kind depressing need sunshine life
73285451,5,-2,0.59,"""Neutral / author is just sharing information"": 0.413
""Negative"": 0.587
",freezing lazy get upp close window
73285452,5,-2,1,"""Negative"": 1.0
",ment michigan weather period way long omg cannot wait sunny num degree weather phoenix
73285453,5,-2,0.8,"""Tweet not related to weather condition"": 0.197
""Negative"": 0.803
",freezing knew brought campus today
73285458,5,-2,0.79,"""I can't tell"": 0.205
""Negative"": 0.795
",yo weather like sin
73285466,5,-2,1,"""Negative"": 1.0
",weather mess
73285477,5,-2,1,"""Negative"": 1.0
",ment im tired bipolar ass weather hot one minute next minute raining
